ArrestID,PersonID,CaseID,ArrestDate,CustodyDays,BailGranted
1,506869,1834,2026-08-09,7,True
2,509669,767,2024-01-09,40,True
3,513641,2070,2022-08-07,46,False
4,513641,4993,2026-10-05,5,False
5,514019,256,2024-07-11,25,True
6,507489,4096,2024-11-08,52,True
7,507489,3260,2025-08-25,16,False
8,512910,2976,2026-07-26,9,False
9,512910,3219,2025-10-17,83,False
10,512910,788,2023-04-11,14,True
11,509568,3355,2023-04-12,76,False
12,521424,1195,2022-12-10,34,True
13,506658,345,2024-11-12,19,True
14,502519,303,2025-06-16,24,False
15,502519,595,2024-11-07,1,False
16,521136,4071,2022-06-18,8,True
17,521081,1412,2026-07-16,43,False
18,506493,731,2024-11-19,15,True
19,508615,1709,2024-05-08,40,False
20,512061,4951,2022-02-19,57,False
21,519123,2223,2023-05-02,47,False
22,512280,1838,2022-10-10,30,False
23,516448,4066,2026-10-14,12,False
24,514338,491,2022-03-06,2,False
25,522164,3253,2025-12-27,11,True
26,522164,800,2024-09-17,5,True
27,522164,4380,2025-12-25,50,False
28,510278,4692,2023-10-05,42,True
29,524428,4745,2027-01-03,1,True
30,517717,82,2026-10-20,30,True
31,507947,3032,2022-08-20,84,False
32,505101,351,2022-01-02,41,True
33,523949,4990,2022-10-05,26,False
34,523949,2072,2024-12-14,58,True
35,500734,2225,2024-05-23,62,True
36,518405,482,2022-11-01,86,True
37,509889,190,2022-06-14,77,True
38,509889,3983,2024-03-30,15,False
39,504406,3072,2024-12-15,45,False
40,521743,530,2022-11-06,79,False
41,521743,1952,2023-05-25,49,False
42,522489,2914,2025-08-22,61,False
43,522489,544,2022-10-21,26,True
44,522489,4603,2026-07-13,6,True
45,514093,4003,2025-09-25,48,False
46,503493,850,2023-10-08,82,False
47,519350,71,2023-12-01,72,False
48,519350,2838,2023-04-12,42,False
49,519350,462,2025-03-29,1,True
50,515658,2059,2022-07-31,10,True
51,503590,1993,2026-05-11,31,True
52,508505,1744,2023-12-05,22,False
53,506254,696,2023-02-11,47,False
54,506254,4171,2026-07-13,60,False
55,512332,2263,2026-07-27,38,True
56,512332,1120,2025-05-19,21,False
57,520199,474,2025-10-29,7,False
58,520199,761,2025-01-03,73,False
59,500867,2577,2026-06-30,76,True
60,500867,862,2024-09-12,13,True
61,500867,3138,2024-07-16,68,True
62,500867,132,2022-12-07,30,True
63,511507,2585,2025-06-29,23,False
64,511507,660,2024-09-25,13,True
65,511507,138,2025-11-02,13,True
66,509808,3371,2022-07-08,64,False
67,505036,441,2024-07-08,66,False
68,505036,3115,2022-03-13,56,False
69,521079,4661,2024-03-19,13,False
70,524662,3147,2024-03-11,89,True
71,512147,989,2023-07-19,50,False
72,516542,1904,2026-08-20,84,False
73,516542,1189,2025-12-26,40,False
74,509318,2899,2026-12-22,37,False
75,515821,2459,2023-12-17,80,False
76,515821,4516,2026-04-25,18,True
77,512059,4821,2023-04-15,77,False
78,508092,948,2023-06-23,51,False
79,508092,1715,2023-01-26,41,False
80,507229,3506,2025-10-18,53,False
81,507229,4256,2023-03-29,52,True
82,522666,573,2022-12-05,66,False
83,513339,3865,2024-01-23,55,False
84,513339,3403,2026-07-17,44,False
85,509516,1432,2025-06-26,76,True
86,522390,4775,2023-12-12,69,True
87,505690,4333,2023-05-05,78,False
88,506516,4670,2023-11-15,78,True
89,503610,4096,2024-11-24,17,True
90,512403,1592,2022-04-22,88,False
91,512403,622,2023-09-25,13,True
92,501916,4058,2024-03-06,39,False
93,501916,3147,2024-03-14,48,False
94,507812,975,2026-10-19,49,False
95,509603,3920,2026-02-04,85,True
96,520140,1600,2022-03-30,79,True
97,520140,1451,2026-08-17,83,False
98,510601,1350,2025-02-08,23,False
99,514799,2855,2026-02-19,57,True
100,514799,1305,2024-09-24,25,True
101,515466,4057,2023-02-27,82,False
102,506665,4409,2023-07-26,72,True
103,523886,4758,2025-07-15,21,False
