RecordID,CaseID,PersonID,Role
1,1,506322,Co-Accused
2,1,515370,Co-Accused
3,2,519769,Main Accused
4,2,519681,Co-Accused
5,2,517394,Main Accused
6,2,514079,Co-Accused
7,3,511822,Main Accused
8,3,517327,Co-Accused
9,3,503198,Main Accused
10,4,504894,Main Accused
11,5,518189,Co-Accused
12,5,519152,Main Accused
13,5,511116,Co-Accused
14,5,506667,Main Accused
15,6,502010,Co-Accused
16,6,500718,Co-Accused
17,7,507975,Main Accused
18,7,518355,Main Accused
19,8,519141,Main Accused
20,8,517394,Co-Accused
21,9,515025,Co-Accused
22,10,508129,Co-Accused
23,10,513510,Main Accused
24,10,517965,Co-Accused
25,10,521425,Co-Accused
26,11,506062,Main Accused
27,11,517085,Main Accused
28,11,508035,Main Accused
29,12,503690,Main Accused
30,12,513577,Main Accused
31,13,513667,Co-Accused
32,13,517980,Co-Accused
33,14,506096,Main Accused
34,14,521096,Co-Accused
35,14,509313,Main Accused
36,15,503758,Co-Accused
37,15,500604,Main Accused
38,16,515377,Co-Accused
39,16,517773,Co-Accused
40,16,502856,Co-Accused
41,17,515915,Main Accused
42,17,513503,Co-Accused
43,17,521568,Main Accused
44,18,507511,Main Accused
45,18,512884,Co-Accused
46,19,518468,Main Accused
47,19,521081,Co-Accused
48,19,516059,Co-Accused
49,20,508576,Co-Accused
50,20,514818,Co-Accused
51,20,521396,Co-Accused
52,20,505308,Co-Accused
53,21,503501,Co-Accused
54,22,512392,Co-Accused
55,23,524599,Co-Accused
56,23,508253,Main Accused
57,23,522194,Co-Accused
58,24,501471,Main Accused
59,24,509382,Co-Accused
60,24,520562,Main Accused
61,24,508078,Co-Accused
62,25,510771,Co-Accused
63,25,516173,Co-Accused
64,25,504912,Main Accused
65,25,523727,Main Accused
66,26,512906,Main Accused
67,26,505719,Main Accused
68,27,506959,Main Accused
69,27,506471,Main Accused
70,27,504073,Co-Accused
71,28,506057,Co-Accused
72,28,511890,Main Accused
73,28,513221,Co-Accused
74,29,507556,Main Accused
75,29,507807,Co-Accused
76,29,516507,Main Accused
77,30,517386,Main Accused
78,30,510496,Main Accused
79,30,523477,Co-Accused
80,30,520565,Main Accused
81,31,524752,Co-Accused
82,31,517433,Main Accused
83,31,501603,Main Accused
84,31,515131,Main Accused
85,32,522955,Co-Accused
86,33,521613,Main Accused
87,33,513958,Main Accused
88,33,505590,Co-Accused
89,33,524481,Main Accused
90,34,502739,Co-Accused
91,34,503749,Main Accused
92,34,509317,Co-Accused
93,34,519311,Co-Accused
94,35,522821,Main Accused
95,35,511606,Main Accused
96,35,523565,Co-Accused
97,35,524696,Main Accused
98,36,509947,Co-Accused
99,36,505065,Co-Accused
100,36,511217,Co-Accused
101,36,501109,Co-Accused
102,37,514453,Main Accused
103,37,507618,Co-Accused
104,37,523770,Main Accused
105,38,513381,Co-Accused
106,38,521919,Main Accused
107,39,505051,Co-Accused
108,39,510769,Main Accused
109,39,502534,Co-Accused
110,39,523879,Co-Accused
111,40,514427,Co-Accused
112,41,504132,Co-Accused
113,42,500688,Main Accused
114,43,516517,Main Accused
115,43,514559,Main Accused
116,43,522660,Main Accused
117,44,501663,Co-Accused
118,44,517256,Main Accused
119,44,505289,Co-Accused
120,44,510495,Co-Accused
121,45,518504,Co-Accused
122,46,516467,Main Accused
123,46,511427,Co-Accused
124,46,516678,Co-Accused
125,46,515424,Co-Accused
126,47,511670,Main Accused
127,47,506219,Main Accused
128,47,520932,Co-Accused
129,48,524973,Co-Accused
130,49,517265,Co-Accused
131,49,508343,Main Accused
132,50,502311,Main Accused
133,50,516674,Co-Accused
134,50,512191,Co-Accused
135,50,512364,Main Accused
136,51,521159,Main Accused
137,51,511040,Main Accused
138,52,505186,Main Accused
139,52,521262,Main Accused
140,52,509461,Main Accused
141,52,507770,Co-Accused
