CaseID,FIRNumber,CrimeHeadID,CrimeSubHeadID,StationID,OfficerID,VictimID,AccusedID,Date,Weapon,Vehicle,Latitude,Longitude,Priority,ModusOperandi,Status
1,FIR/2024/000001,5,16,5,100348,523166,518095,2026-08-21,Iron Rod,Truck,12.930046,77.568422,Low,Forced Entry,Charge Sheet Filed
2,FIR/2023/000002,6,18,16,101297,505969,513520,2024-05-21,Stick,Van,12.955883,74.860523,Critical,Social Engineering,Closed
3,FIR/2025/000003,8,26,2,100098,502566,507561,2026-08-22,Stick,Truck,12.939843,77.589528,Low,Fake Identity,Pending Trial
4,FIR/2024/000004,6,22,14,101165,522464,516645,2022-09-21,Knife,Scooter,12.30438,76.688188,Low,Physical Assault,Closed
5,FIR/2025/000005,9,31,2,100146,510107,511746,2023-10-05,Hands,Auto,12.971096,77.610426,Critical,Social Engineering,Closed
6,FIR/2024/000006,9,30,1,100006,510483,516447,2024-10-20,Crowbar,Car,12.976067,77.553231,High,Online Scam,Charge Sheet Filed
7,FIR/2023/000007,11,36,2,100104,511161,516498,2024-01-15,Stick,Motorcycle,12.937187,77.629916,Low,Duplicate Key,Charge Sheet Filed
8,FIR/2024/000008,2,7,5,100389,504195,504609,2023-06-28,Crowbar,Van,12.961406,77.565097,Medium,Online Scam,Closed
9,FIR/2023/000009,7,24,15,101236,506293,515701,2022-02-07,Knife,Auto,12.313117,76.593795,Low,Firearm,Charge Sheet Filed
10,FIR/2024/000010,10,33,16,101331,505441,504852,2023-03-27,Hands,Motorcycle,12.962518,74.871895,High,ATM Skimming,Under Investigation
11,FIR/2026/000011,5,17,5,100369,501399,504019,2023-06-17,Stick,Truck,12.963038,77.560293,Critical,Forced Entry,Pending Trial
12,FIR/2022/000012,8,26,11,100927,512111,503415,2025-02-24,Knife,Van,12.354901,76.625536,High,Firearm,Charge Sheet Filed
13,FIR/2024/000013,9,31,14,101178,501683,522717,2026-02-01,Iron Rod,Truck,12.284503,76.663237,Low,Forced Entry,Under Investigation
14,FIR/2022/000014,1,3,1,100050,507846,524433,2023-10-17,Iron Rod,Truck,13.001877,77.581126,High,Fake Identity,Closed
15,FIR/2024/000015,2,5,5,100350,517065,514899,2026-01-14,Crowbar,Motorcycle,12.954495,77.5528,Medium,Firearm,Closed
16,FIR/2023/000016,10,33,2,100128,521165,501001,2026-03-02,Iron Rod,Scooter,12.966274,77.626513,Low,Fake Identity,Pending Trial
17,FIR/2024/000017,3,9,13,101060,523926,521963,2025-03-29,Pistol,Car,12.314507,76.689317,Medium,Online Scam,Closed
18,FIR/2026/000018,11,37,13,101113,501863,519619,2024-04-22,Knife,Car,12.327645,76.668,Low,Social Engineering,Closed
19,FIR/2024/000019,7,24,19,101492,505812,524643,2026-05-12,Knife,Truck,12.952124,74.843205,Critical,Knife Attack,Closed
20,FIR/2026/000020,7,25,3,100215,507029,524117,2025-11-23,Hands,Car,12.990073,77.592072,Medium,Knife Attack,Pending Trial
21,FIR/2022/000021,4,13,13,101108,515374,507035,2025-06-17,Iron Rod,None,12.3344,76.702162,High,Online Scam,Pending Trial
22,FIR/2023/000022,4,12,19,101490,515998,502936,2024-12-08,Knife,Car,12.91783,74.836836,High,Physical Assault,Closed
23,FIR/2026/000023,6,19,13,101109,513588,503105,2025-11-21,Hands,Motorcycle,12.315082,76.66932,Medium,Social Engineering,Under Investigation
24,FIR/2025/000024,6,21,18,101432,507313,520830,2022-06-09,Knife,Scooter,12.924936,74.861597,Low,Duplicate Key,Under Investigation
25,FIR/2026/000025,12,40,10,100825,510422,514967,2025-10-31,Crowbar,Scooter,12.934268,77.584604,High,Social Engineering,Closed
26,FIR/2024/000026,8,28,5,100362,510434,523577,2025-03-20,Stick,Van,12.945549,77.54924,High,Forced Entry,Under Investigation
27,FIR/2024/000027,2,5,11,100955,518100,519132,2024-07-22,Crowbar,Car,12.309675,76.597377,Critical,Poisoning,Closed
28,FIR/2022/000028,6,20,9,100763,513846,515871,2023-05-13,Unknown,None,12.991188,77.582122,Low,Vehicle Lock Break,Closed
29,FIR/2026/000029,7,25,2,100135,510374,516791,2024-01-03,Pistol,Auto,12.935604,77.628154,High,Duplicate Key,Under Investigation
30,FIR/2026/000030,2,5,19,101501,501025,518405,2022-02-24,Stick,Auto,12.908549,74.816141,Critical,Firearm,Under Investigation
31,FIR/2025/000031,11,37,12,100981,509623,512464,2024-09-28,Iron Rod,Van,12.332199,76.655033,Medium,Poisoning,Under Investigation
32,FIR/2022/000032,1,3,6,100486,522468,509664,2024-04-17,Knife,Truck,12.981093,77.604982,Critical,Social Engineering,Under Investigation
33,FIR/2025/000033,6,19,19,101525,519448,500093,2023-11-21,Hands,Scooter,12.904002,74.832353,Critical,Social Engineering,Pending Trial
34,FIR/2022/000034,5,15,15,101220,519930,511335,2022-08-09,Unknown,Scooter,12.301356,76.599806,Critical,Duplicate Key,Pending Trial
35,FIR/2026/000035,2,5,7,100589,509340,517097,2023-12-13,Pistol,Auto,12.945409,77.63392,Low,Knife Attack,Pending Trial
36,FIR/2026/000036,10,32,1,100024,500181,510493,2024-05-23,Stick,Motorcycle,12.955696,77.549226,Medium,Vehicle Lock Break,Under Investigation
37,FIR/2023/000037,1,3,7,100595,511120,500497,2024-02-08,Iron Rod,None,12.924096,77.596064,Low,Social Engineering,Pending Trial
38,FIR/2022/000038,7,23,2,100162,522356,511041,2023-01-17,Hands,Car,12.954967,77.599514,High,Poisoning,Under Investigation
39,FIR/2025/000039,8,28,15,101217,524751,504770,2026-01-25,Pistol,Motorcycle,12.289616,76.603845,Medium,Forced Entry,Under Investigation
40,FIR/2026/000040,7,25,13,101058,521976,520476,2025-03-13,Hands,Car,12.33701,76.676123,Medium,Duplicate Key,Pending Trial
41,FIR/2022/000041,8,26,3,100228,506068,507587,2023-01-03,Stick,Truck,12.99014,77.601749,Medium,Knife Attack,Charge Sheet Filed
42,FIR/2022/000042,3,10,3,100193,513232,521071,2026-10-04,Iron Rod,Motorcycle,12.994214,77.59892,Low,Knife Attack,Charge Sheet Filed
43,FIR/2023/000043,7,25,1,100035,506471,516700,2023-05-19,Stick,Motorcycle,12.961439,77.548183,Critical,Vehicle Lock Break,Closed
44,FIR/2025/000044,11,35,17,101374,523866,513719,2023-12-02,Iron Rod,Auto,12.902633,74.843848,High,ATM Skimming,Under Investigation
45,FIR/2026/000045,1,3,8,100657,514987,523516,2024-04-25,Iron Rod,Scooter,13.003455,77.611195,High,Vehicle Lock Break,Charge Sheet Filed
46,FIR/2026/000046,4,11,4,100297,506088,515669,2023-11-28,Crowbar,Truck,12.961715,77.64149,High,Duplicate Key,Under Investigation
47,FIR/2025/000047,8,26,6,100429,517503,516345,2023-09-26,Pistol,Motorcycle,13.00458,77.565278,Medium,ATM Skimming,Charge Sheet Filed
48,FIR/2026/000048,8,27,14,101151,504242,512864,2022-06-24,Stick,Car,12.25829,76.657944,High,Poisoning,Charge Sheet Filed
49,FIR/2023/000049,10,32,9,100731,503796,506031,2022-12-27,Knife,Auto,12.975701,77.540337,Low,Duplicate Key,Charge Sheet Filed
50,FIR/2026/000050,6,20,7,100596,504932,507389,2023-03-25,Iron Rod,Scooter,12.950816,77.610492,High,Knife Attack,Under Investigation
51,FIR/2022/000051,1,4,5,100398,523392,515750,2023-11-09,Hands,Truck,12.955952,77.546983,Low,Duplicate Key,Pending Trial
52,FIR/2025/000052,7,25,15,101213,511421,518561,2026-12-05,Unknown,Car,12.311164,76.6207,Medium,Vehicle Lock Break,Pending Trial
53,FIR/2022/000053,11,36,10,100862,512391,500127,2026-12-09,Iron Rod,Van,12.926783,77.599728,Critical,Social Engineering,Pending Trial
54,FIR/2024/000054,10,33,16,101274,506120,522985,2026-05-18,Stick,Scooter,12.973898,74.88885,Medium,Poisoning,Pending Trial
55,FIR/2025/000055,12,40,17,101357,524463,524233,2024-10-05,Hands,Motorcycle,12.895842,74.835546,Critical,Poisoning,Under Investigation
56,FIR/2022/000056,1,4,5,100382,511958,506893,2024-02-08,Knife,Van,12.953807,77.576053,Critical,Social Engineering,Pending Trial
57,FIR/2022/000057,12,40,5,100355,518296,520870,2025-05-21,Pistol,Van,12.940318,77.586114,Medium,Online Scam,Under Investigation
58,FIR/2025/000058,1,2,15,101224,500923,510278,2022-04-10,Unknown,Scooter,12.313337,76.642173,High,Forced Entry,Under Investigation
59,FIR/2022/000059,2,5,16,101339,516788,505114,2025-08-08,Knife,None,12.966782,74.88315,Medium,Physical Assault,Under Investigation
60,FIR/2024/000060,1,3,18,101421,517749,516513,2023-01-18,Iron Rod,None,12.970643,74.87267,Low,Online Scam,Under Investigation
61,FIR/2022/000061,5,14,20,101586,524672,505948,2024-02-20,Pistol,Auto,12.944724,74.834275,Medium,Social Engineering,Closed
62,FIR/2022/000062,3,8,5,100362,519697,505715,2023-05-30,Iron Rod,Truck,12.924133,77.592989,Critical,Fake Identity,Charge Sheet Filed
63,FIR/2023/000063,1,3,3,100236,516278,522066,2023-01-25,Knife,Truck,13.000173,77.615817,Critical,Duplicate Key,Pending Trial
64,FIR/2024/000064,10,32,13,101107,511539,506698,2023-12-06,Stick,None,12.303454,76.687282,Critical,Social Engineering,Closed
65,FIR/2023/000065,7,23,5,100363,517861,524721,2025-10-23,Unknown,Scooter,12.913475,77.546703,Low,Social Engineering,Pending Trial
66,FIR/2023/000066,2,5,1,100060,510415,502619,2025-02-24,Crowbar,None,12.967934,77.54869,High,Poisoning,Closed
