RecordID,CaseID,PersonID,VictimType
1,1,511013,Primary
2,1,507042,Secondary
3,1,512173,Secondary
4,2,521878,Secondary
5,3,516321,Primary
6,3,502975,Primary
7,3,522232,Secondary
8,4,520163,Primary
9,4,524536,Primary
10,5,519939,Secondary
11,6,509576,Secondary
12,7,521810,Primary
13,7,510516,Secondary
14,7,510420,Secondary
15,8,512817,Secondary
16,8,500571,Secondary
17,9,504764,Secondary
18,10,514883,Secondary
19,11,520470,Secondary
20,11,502531,Secondary
21,11,501922,Primary
22,12,508804,Secondary
23,13,524564,Secondary
24,13,516959,Secondary
25,14,520941,Primary
26,15,517691,Secondary
27,15,500701,Secondary
28,16,508666,Secondary
29,16,500026,Primary
30,17,506695,Primary
31,17,514525,Secondary
32,17,512257,Primary
33,18,515990,Primary
34,19,500019,Primary
35,19,513310,Secondary
36,19,510084,Secondary
37,20,518644,Secondary
38,20,501318,Secondary
39,20,503730,Secondary
40,21,511807,Primary
41,21,501605,Secondary
42,22,506933,Secondary
43,22,506992,Primary
44,23,505327,Secondary
45,23,509380,Secondary
46,24,518905,Secondary
47,24,514533,Primary
48,25,501055,Primary
49,25,503716,Primary
50,26,509133,Primary
51,26,511612,Primary
52,27,506219,Secondary
53,27,521232,Primary
54,27,508195,Primary
55,28,510393,Primary
56,28,518877,Secondary
57,28,517667,Primary
58,29,519735,Primary
59,29,518996,Primary
60,30,523390,Primary
61,30,521671,Primary
62,31,503218,Secondary
63,31,518959,Secondary
64,32,503223,Primary
65,32,507778,Secondary
66,32,500592,Secondary
67,33,523706,Primary
68,33,507109,Primary
69,34,508779,Secondary
70,34,507166,Secondary
71,35,505047,Secondary
72,36,505306,Primary
73,36,505809,Primary
74,37,511699,Secondary
75,38,518573,Secondary
76,39,522935,Primary
77,39,502485,Secondary
78,39,523677,Primary
79,40,502199,Primary
80,41,507437,Primary
81,42,519121,Primary
82,42,509816,Secondary
83,43,507439,Secondary
84,43,507007,Secondary
85,43,501803,Secondary
86,44,511729,Secondary
87,44,521414,Primary
88,45,516984,Secondary
89,45,505439,Secondary
90,45,504876,Secondary
91,46,508503,Primary
92,46,516170,Secondary
93,46,517176,Primary
94,47,522260,Primary
95,48,520099,Primary
96,48,524882,Secondary
97,49,521014,Secondary
98,49,512071,Secondary
99,50,512197,Primary
100,50,506209,Secondary
101,50,519256,Secondary
102,51,519586,Primary
103,51,511670,Primary
104,51,505318,Primary
105,52,506365,Secondary
106,53,515394,Primary
107,54,503029,Primary
108,54,521286,Secondary
109,54,504358,Secondary
110,55,500661,Secondary
111,55,506113,Primary
112,55,503127,Primary
113,56,524816,Primary
114,57,524683,Primary
115,57,511047,Primary
116,57,502412,Secondary
117,58,523499,Secondary
118,58,514212,Primary
119,58,523676,Primary
120,59,503922,Secondary
121,59,509094,Secondary
122,60,505154,Secondary
123,60,517607,Primary
124,60,522429,Secondary
125,61,510698,Secondary
126,62,502746,Secondary
127,62,509790,Secondary
128,62,513228,Primary
129,63,509973,Primary
130,64,519097,Secondary
131,64,501771,Secondary
132,64,509209,Primary
133,65,507096,Secondary
134,65,506731,Primary
135,66,508714,Primary
136,66,501961,Secondary
137,67,505476,Secondary
138,67,515044,Primary
139,68,515580,Primary
140,68,518359,Secondary
141,69,509823,Secondary
142,70,515231,Secondary
143,71,512899,Secondary
144,71,507777,Secondary
145,71,517441,Secondary
