CaseID,FIRNumber,CrimeType,CrimeCategory,District,PoliceStation,Latitude,Longitude,Date,Time,Severity,Status,VictimID,SuspectID,Weapon,RepeatOffender,GangID,EstimatedLoss
1,FIR-100000,Robbery,Property Crime,Dakshina Kannada,Gangtok PS,12.951190119606583,74.80485594577254,2024-09-10,12:08:13,High,Closed,9296,4938,Gun,True,47,319759
2,FIR-100001,Drug Trafficking,Organized Crime,Mysuru,Tezpur PS,12.2853586362981,76.5852275661718,2025-03-01,01:50:43,High,Chargesheet Filed,7806,5640,Gun,True,178,213440
3,FIR-100002,Theft,Property Crime,Bengaluru Urban,Sultan Pur Majra PS,12.977609354671818,77.65612141259369,2024-09-16,10:15:40,Medium,Under Investigation,20822,969,Blunt Object,False,66,32814
4,FIR-100003,Drug Trafficking,Organized Crime,Mysuru,Gudivada PS,12.360663263830443,76.70644798708229,2025-07-31,06:36:04,High,Open,14558,6767,None,True,243,253185
5,FIR-100004,Murder,Violent Crime,Bengaluru Urban,Bhagalpur PS,13.002651169434152,77.64161354554027,2025-11-20,22:00:52,Low,Open,6789,3687,Knife,True,134,165940
6,FIR-100005,Burglary,Property Crime,Bengaluru Urban,Vijayawada PS,12.89800769145506,77.61739141501059,2026-03-19,19:46:49,Low,Open,1391,437,Gun,True,153,343618
7,FIR-100006,Assault,Violent Crime,Mysuru,Kottayam PS,12.33004757510525,76.62111365681272,2026-06-04,14:15:18,High,Closed,23768,6887,Knife,True,145,345998
8,FIR-100007,Theft,Property Crime,Mysuru,Davanagere PS,12.35596528505603,76.61244663122689,2025-05-18,02:11:40,Medium,Open,9319,2594,Gun,False,63,490862
9,FIR-100008,Theft,Property Crime,Bengaluru Urban,Korba PS,13.034538664750137,77.54887241112213,2026-03-26,06:14:35,Low,Closed,10007,1243,Gun,False,99,193580
10,FIR-100009,Cyber Crime,Cyber Crime,Bengaluru Urban,Phusro PS,12.985608293460016,77.54527225432629,2026-07-16,05:34:09,Low,Under Investigation,83,97,Gun,False,174,351818
11,FIR-100010,Cyber Crime,Cyber Crime,Dakshina Kannada,Ghaziabad PS,12.890003967637297,74.84664358889681,2025-01-25,06:47:39,Low,Chargesheet Filed,10675,6269,Knife,False,217,342102
12,FIR-100011,Assault,Violent Crime,Mysuru,Raiganj PS,12.24856972443849,76.63589581838109,2026-05-06,10:44:34,Low,Open,23918,373,Unknown,False,224,44569
13,FIR-100012,Cyber Crime,Cyber Crime,Bengaluru Urban,Berhampore PS,12.94062244097104,77.60877378865673,2026-07-04,21:36:02,Medium,Closed,22338,6437,Gun,False,130,309006
14,FIR-100013,Assault,Violent Crime,Mysuru,Moradabad PS,12.27514020621659,76.57569914305415,2025-06-06,18:09:14,Low,Under Investigation,10235,624,Unknown,False,221,69035
15,FIR-100014,Assault,Violent Crime,Mysuru,Madanapalle PS,12.258271943428303,76.70918489420242,2026-05-06,12:12:12,Medium,Open,13038,6628,Gun,False,222,257465
