CourtCaseID,CaseID,CourtName,JudgeName,HearingCount,Judgement
1,1,Mangaluru District Court,Justice 82,20,Convicted
2,2,Kalaburagi District Court,Justice 320,17,Convicted
3,3,Mysuru District Court,Justice 178,4,Convicted
4,4,Mysuru District Court,Justice 287,3,Convicted
5,5,Kalaburagi District Court,Justice 33,14,Acquitted
6,6,Hubballi District Court,Justice 54,6,Acquitted
7,7,Hubballi District Court,Justice 209,15,Pending
8,8,Kalaburagi District Court,Justice 11,10,Pending
9,9,Mangaluru District Court,Justice 373,5,Acquitted
10,10,Mysuru District Court,Justice 69,7,Convicted
11,11,Belagavi Sessions Court,Justice 234,3,Pending
12,12,Kalaburagi District Court,Justice 317,17,Pending
13,13,Mangaluru District Court,Justice 214,8,Acquitted
14,14,Bengaluru Sessions Court,Justice 147,16,Acquitted
15,15,Bengaluru Sessions Court,Justice 182,20,Pending
16,16,Mangaluru District Court,Justice 289,11,Acquitted
17,17,Mangaluru District Court,Justice 375,20,Pending
18,18,Kalaburagi District Court,Justice 20,19,Convicted
19,19,Kalaburagi District Court,Justice 274,6,Pending
20,20,Bengaluru Sessions Court,Justice 266,12,Convicted
21,21,Mangaluru District Court,Justice 47,9,Acquitted
22,22,Hubballi District Court,Justice 152,14,Acquitted
23,23,Bengaluru Sessions Court,Justice 190,18,Convicted
24,24,Hubballi District Court,Justice 367,9,Acquitted
25,25,Bengaluru Sessions Court,Justice 69,10,Pending
26,26,Hubballi District Court,Justice 2,3,Convicted
27,27,Belagavi Sessions Court,Justice 472,1,Acquitted
28,28,Kalaburagi District Court,Justice 431,4,Acquitted
29,29,Belagavi Sessions Court,Justice 354,5,Pending
30,30,Mysuru District Court,Justice 18,16,Pending
31,31,Hubballi District Court,Justice 161,9,Convicted
32,32,Kalaburagi District Court,Justice 392,8,Convicted
33,33,Kalaburagi District Court,Justice 265,4,Acquitted
34,34,Mangaluru District Court,Justice 140,9,Acquitted
35,35,Belagavi Sessions Court,Justice 289,18,Pending
36,36,Hubballi District Court,Justice 59,7,Convicted
37,37,Kalaburagi District Court,Justice 278,12,Pending
38,38,Kalaburagi District Court,Justice 69,10,Acquitted
39,39,Mangaluru District Court,Justice 68,5,Pending
40,40,Bengaluru Sessions Court,Justice 153,17,Acquitted
41,41,Belagavi Sessions Court,Justice 51,20,Convicted
42,42,Belagavi Sessions Court,Justice 104,8,Pending
43,43,Mysuru District Court,Justice 404,8,Acquitted
44,44,Hubballi District Court,Justice 453,14,Pending
45,45,Kalaburagi District Court,Justice 336,9,Pending
46,46,Hubballi District Court,Justice 151,18,Acquitted
47,47,Belagavi Sessions Court,Justice 306,19,Convicted
48,48,Hubballi District Court,Justice 113,20,Pending
49,49,Mysuru District Court,Justice 141,16,Acquitted
50,50,Mangaluru District Court,Justice 495,12,Convicted
51,51,Mangaluru District Court,Justice 443,16,Acquitted
52,52,Bengaluru Sessions Court,Justice 296,8,Pending
53,53,Belagavi Sessions Court,Justice 471,9,Convicted
54,54,Mysuru District Court,Justice 456,4,Convicted
55,55,Mangaluru District Court,Justice 372,20,Pending
56,56,Mangaluru District Court,Justice 24,10,Pending
57,57,Belagavi Sessions Court,Justice 493,17,Convicted
