HistoryID,PersonID,CaseID,ArrestStatus,Convicted,SentenceYears,RepeatOffender
1,506869,1834,Arrested,True,1,False
2,524017,776,Absconding,False,0,False
3,509669,767,Arrested,False,0,False
4,509669,1778,Absconding,True,2,False
5,513641,2070,Arrested,True,2,True
6,513641,4993,Arrested,True,4,True
7,513641,2896,Absconding,False,0,True
8,514019,3984,Unknown,False,0,True
9,514019,196,Unknown,False,0,True
10,514019,2081,Bail,False,0,True
11,514019,2724,Unknown,True,16,True
12,514019,256,Arrested,True,11,True
13,514019,1360,Absconding,True,18,True
14,507489,3301,Bail,False,0,True
15,507489,1539,Bail,True,5,True
16,507489,1196,Absconding,False,0,True
17,507489,2216,Unknown,False,0,True
18,507489,4096,Arrested,False,0,True
19,507489,3260,Arrested,True,16,True
20,505805,3050,Bail,True,18,True
21,505805,1251,Absconding,True,2,True
22,505805,3874,Unknown,False,0,True
23,512910,3622,Unknown,True,11,True
24,512910,2976,Arrested,True,3,True
25,512910,4851,Absconding,False,0,True
26,512910,3219,Arrested,False,0,True
27,512910,478,Bail,True,2,True
28,512910,788,Arrested,False,0,True
29,503387,3042,Unknown,True,10,True
30,503387,2405,Unknown,True,16,True
31,503387,2866,Absconding,True,11,True
32,503387,3562,Bail,True,17,True
33,509568,4459,Bail,False,0,True
34,509568,3355,Arrested,True,5,True
35,509568,2197,Absconding,False,0,True
36,509568,870,Bail,False,0,True
37,509568,157,Absconding,False,0,True
38,521424,511,Bail,False,0,True
39,521424,1195,Arrested,True,2,True
40,521424,623,Bail,False,0,True
41,521424,3532,Absconding,True,19,True
42,503504,3376,Absconding,True,14,True
43,503504,1418,Absconding,False,0,True
44,503504,2576,Bail,False,0,True
45,503504,2467,Unknown,True,20,True
46,503504,1120,Bail,True,20,True
47,506658,2261,Bail,False,0,False
48,506658,345,Arrested,True,15,False
49,519193,1259,Unknown,False,0,False
50,519193,2834,Bail,False,0,False
51,502519,303,Arrested,True,18,True
52,502519,3788,Bail,True,13,True
53,502519,2359,Unknown,False,0,True
54,502519,595,Arrested,True,6,True
