EvidenceID,CaseID,EvidenceType,CollectedDate,Status,ForensicLab,Verified
1,1,Knife,2026-08-21,Rejected,Mysuru FSL,False
2,1,Mobile Phone,2026-08-21,Verified,Mangaluru FSL,False
3,1,SIM Card,2026-08-21,Pending Analysis,Mysuru FSL,False
4,2,Hard Disk,2024-05-21,Rejected,Bengaluru FSL,False
5,2,CCTV Footage,2024-05-21,Pending Analysis,Mangaluru FSL,False
6,2,Laptop,2024-05-21,Sent to FSL,Mangaluru FSL,False
7,2,Clothing,2024-05-21,Collected,Bengaluru FSL,True
8,2,Fingerprint,2024-05-21,Verified,Mysuru FSL,True
9,3,CCTV Footage,2026-08-22,Pending Analysis,Mangaluru FSL,False
10,3,DNA Sample,2026-08-22,Pending Analysis,Bengaluru FSL,False
11,3,Mobile Phone,2026-08-22,Verified,Bengaluru FSL,True
12,3,Blood Sample,2026-08-22,Sent to FSL,Bengaluru FSL,False
13,3,Vehicle,2026-08-22,Pending Analysis,Bengaluru FSL,True
14,4,Blood Sample,2022-09-21,Sent to FSL,Mysuru FSL,False
15,4,Mobile Phone,2022-09-21,Pending Analysis,Mangaluru FSL,True
16,4,Clothing,2022-09-21,Sent to FSL,Bengaluru FSL,True
17,4,DNA Sample,2022-09-21,Verified,Mysuru FSL,True
18,4,Vehicle,2022-09-21,Rejected,Mysuru FSL,False
19,5,SIM Card,2023-10-05,Sent to FSL,Mangaluru FSL,True
20,5,Fingerprint,2023-10-05,Verified,Bengaluru FSL,True
21,5,Drug Sample,2023-10-05,Pending Analysis,Mangaluru FSL,True
22,5,Knife,2023-10-05,Sent to FSL,Bengaluru FSL,False
23,5,Vehicle,2023-10-05,Rejected,Bengaluru FSL,True
24,6,Blood Sample,2024-10-20,Rejected,Bengaluru FSL,False
25,6,Laptop,2024-10-20,Sent to FSL,Bengaluru FSL,True
26,6,SIM Card,2024-10-20,Collected,Mysuru FSL,True
27,7,Knife,2024-01-15,Collected,Bengaluru FSL,False
28,7,Fingerprint,2024-01-15,Sent to FSL,Bengaluru FSL,True
29,8,Knife,2023-06-28,Sent to FSL,Bengaluru FSL,False
30,8,Drug Sample,2023-06-28,Sent to FSL,Mysuru FSL,False
31,8,Document,2023-06-28,Sent to FSL,Mysuru FSL,True
32,8,SIM Card,2023-06-28,Sent to FSL,Mysuru FSL,False
33,9,USB Drive,2022-02-07,Pending Analysis,Mangaluru FSL,True
34,10,Fingerprint,2023-03-27,Sent to FSL,Mangaluru FSL,False
35,10,Hard Disk,2023-03-27,Rejected,Bengaluru FSL,True
36,10,Drug Sample,2023-03-27,Pending Analysis,Bengaluru FSL,True
37,11,SIM Card,2023-06-17,Sent to FSL,Mangaluru FSL,True
38,11,Fingerprint,2023-06-17,Collected,Bengaluru FSL,False
39,11,Knife,2023-06-17,Rejected,Mangaluru FSL,False
40,12,Firearm,2025-02-24,Sent to FSL,Mysuru FSL,True
41,12,Hard Disk,2025-02-24,Verified,Bengaluru FSL,True
42,12,Blood Sample,2025-02-24,Sent to FSL,Mysuru FSL,True
43,13,Knife,2026-02-01,Verified,Mysuru FSL,True
44,13,Mobile Phone,2026-02-01,Rejected,Mangaluru FSL,True
45,13,USB Drive,2026-02-01,Verified,Mangaluru FSL,True
46,13,Vehicle,2026-02-01,Pending Analysis,Mysuru FSL,True
47,14,Mobile Phone,2023-10-17,Pending Analysis,Mysuru FSL,True
48,14,CCTV Footage,2023-10-17,Verified,Mangaluru FSL,False
49,15,Document,2026-01-14,Pending Analysis,Bengaluru FSL,False
50,15,Mobile Phone,2026-01-14,Collected,Mysuru FSL,False
51,15,SIM Card,2026-01-14,Pending Analysis,Mangaluru FSL,False
52,15,USB Drive,2026-01-14,Collected,Bengaluru FSL,True
53,16,Mobile Phone,2026-03-02,Rejected,Mysuru FSL,False
54,16,Drug Sample,2026-03-02,Sent to FSL,Mysuru FSL,True
55,16,Blood Sample,2026-03-02,Pending Analysis,Mysuru FSL,True
56,17,Document,2025-03-29,Rejected,Mysuru FSL,True
57,18,Clothing,2024-04-22,Pending Analysis,Bengaluru FSL,False
58,19,USB Drive,2026-05-12,Verified,Mysuru FSL,True
59,19,SIM Card,2026-05-12,Collected,Bengaluru FSL,False
60,19,Blood Sample,2026-05-12,Verified,Mangaluru FSL,False
61,19,Clothing,2026-05-12,Pending Analysis,Mysuru FSL,False
62,19,Knife,2026-05-12,Rejected,Mysuru FSL,False
63,20,Vehicle,2025-11-23,Sent to FSL,Bengaluru FSL,False
