MembershipID,GangID,PersonID,Role,JoinYear
1,1,500425,Member,2018
2,1,506461,Member,2022
3,1,522558,Member,2022
4,1,504398,Member,2020
5,1,519588,Member,2016
6,1,510909,Member,2025
7,1,501277,Member,2024
8,1,512094,Member,2024
9,1,521691,Member,2018
10,1,500627,Member,2022
11,1,508204,Member,2021
12,1,517465,Member,2023
13,1,513805,Leader,2025
14,1,520713,Member,2023
15,1,501739,Member,2015
16,1,508833,Member,2025
17,1,514365,Member,2024
18,1,518346,Member,2015
19,1,511244,Member,2021
20,1,515984,Member,2017
21,2,519149,Leader,2025
22,2,512909,Member,2019
23,2,519052,Member,2018
24,2,505062,Member,2015
25,2,501963,Member,2019
26,2,523142,Member,2015
27,2,502639,Member,2018
28,2,516580,Member,2020
29,2,518394,Member,2023
30,2,503800,Member,2024
31,3,517463,Member,2022
32,3,509154,Member,2022
33,3,520624,Member,2015
34,3,500912,Member,2025
35,3,502646,Member,2017
36,3,515653,Member,2022
37,3,515821,Member,2018
38,3,513556,Member,2018
39,3,500448,Member,2015
40,3,500218,Leader,2019
41,3,518630,Member,2025
42,3,519407,Member,2018
43,3,507851,Member,2021
44,4,500537,Member,2017
45,4,503427,Member,2018
46,4,522969,Member,2018
47,4,500176,Member,2018
48,4,505515,Member,2023
49,4,521743,Member,2015
50,4,522755,Member,2025
51,4,512035,Member,2015
52,4,518060,Member,2019
53,4,502520,Member,2024
54,4,507977,Member,2016
55,4,520917,Member,2015
56,4,523233,Member,2016
57,4,506505,Member,2018
58,4,503173,Member,2021
59,4,515378,Member,2024
60,4,508142,Member,2022
61,4,521904,Member,2021
62,4,519854,Member,2023
63,4,517067,Leader,2025
64,5,519515,Member,2022
65,5,514751,Member,2016
66,5,511290,Member,2020
67,5,513106,Member,2024
68,5,519464,Leader,2020
69,5,522503,Member,2023
70,5,520197,Member,2021
71,5,502623,Member,2025
72,5,513207,Member,2025
73,5,517611,Member,2015
74,6,521067,Member,2017
75,6,500607,Member,2025
76,6,521357,Member,2016
77,6,502768,Member,2025
78,6,502885,Member,2023
79,6,508822,Leader,2023
80,6,511038,Member,2024
81,6,508183,Member,2017
82,6,512403,Member,2023
83,6,524014,Member,2025
84,6,518857,Member,2019
85,6,524839,Member,2019
86,6,505599,Member,2024
87,6,508088,Member,2018
88,6,503708,Member,2022
89,6,521763,Member,2016
90,6,504844,Member,2016
91,6,509927,Member,2023
92,6,520708,Member,2024
93,7,504619,Member,2023
94,7,503078,Member,2022
95,7,503048,Member,2015
96,7,506706,Leader,2017
97,7,516183,Member,2016
98,7,509072,Member,2016
99,7,505664,Member,2016
100,7,500439,Member,2017
101,7,522589,Member,2023
102,7,513643,Member,2025
103,7,503746,Member,2024
104,7,515478,Member,2022
105,7,515802,Member,2020
106,7,522276,Member,2017
107,7,508936,Member,2022
108,7,512618,Member,2024
109,7,522014,Member,2021
110,7,513813,Member,2018
111,7,508829,Member,2020
112,7,504547,Member,2024
113,8,524932,Member,2017
114,8,504044,Member,2022
115,8,508828,Member,2015
116,8,520572,Member,2016
117,8,500829,Leader,2016
118,9,510671,Member,2016
119,9,516409,Member,2016
120,9,510232,Member,2017
121,9,511554,Member,2015
122,9,514402,Member,2016
123,9,517647,Member,2020
124,9,502062,Member,2023
125,9,519324,Member,2022
126,9,523037,Member,2024
127,9,519403,Member,2022
128,9,503394,Member,2021
129,9,522931,Leader,2022
130,9,523932,Member,2019
131,9,515068,Member,2015
132,9,504476,Member,2025
133,9,521071,Member,2023
134,9,514605,Member,2015
135,9,517954,Member,2022
136,9,516316,Member,2022
137,10,514989,Member,2019
138,10,510009,Member,2018
139,10,506235,Member,2025
140,10,504551,Member,2015
141,10,502684,Leader,2016
142,10,500374,Member,2022
143,10,522889,Member,2017
144,10,506770,Member,2022
145,10,505419,Member,2019
146,10,507673,Member,2015
147,11,502535,Member,2024
148,11,503471,Member,2023
149,11,504606,Member,2023
150,11,504373,Member,2015
151,11,506978,Leader,2025
152,11,504192,Member,2018
153,12,500641,Member,2021
154,12,517191,Member,2025
155,12,524321,Member,2015
156,12,505793,Member,2021
157,12,510728,Member,2016
158,12,518854,Member,2020
159,12,521939,Member,2019
160,12,521404,Member,2017
161,12,507213,Member,2019
162,12,500929,Member,2015
163,12,504814,Member,2019
164,12,514583,Member,2019
165,12,513247,Member,2018
166,12,521041,Member,2022
167,12,514761,Member,2024
168,12,517099,Member,2022
169,12,502684,Member,2015
170,12,501874,Member,2017
171,12,505195,Leader,2025
172,12,520474,Member,2018
173,13,507213,Member,2022
174,13,505996,Member,2020
175,13,507487,Member,2022
176,13,501423,Member,2017
177,13,512536,Member,2018
178,13,520182,Member,2023
179,13,520601,Member,2021
180,13,501176,Member,2023
181,13,506391,Member,2025
182,13,515003,Leader,2023
183,13,500231,Member,2022
184,14,517885,Member,2024
185,14,513477,Member,2019
186,14,523530,Member,2018
187,14,500972,Member,2019
188,14,523535,Member,2021
189,14,508869,Member,2022
190,14,516542,Member,2016
191,14,511079,Member,2025
192,14,507692,Member,2022
193,14,503065,Member,2015
194,14,518305,Leader,2025
195,14,514150,Member,2025
196,14,519041,Member,2018
197,14,513446,Member,2024
198,14,500745,Member,2016
199,14,522982,Member,2018
200,14,505514,Member,2020
201,15,510494,Member,2023
202,15,512959,Leader,2017
203,15,515819,Member,2015
204,15,501633,Member,2015
205,15,514935,Member,2015
206,15,507133,Member,2022
207,15,523278,Member,2016
208,16,522684,Member,2019
209,16,501093,Member,2017
210,16,509094,Member,2020
211,16,523590,Member,2018
212,16,502498,Member,2023
213,16,508640,Member,2018
214,16,514738,Member,2016
215,16,513124,Member,2017
216,16,510428,Leader,2017
217,16,521102,Member,2018
218,16,510460,Member,2021
219,16,522014,Member,2021
220,17,512702,Member,2022
221,17,521109,Member,2017
222,17,520392,Member,2018
223,17,507862,Member,2016
224,17,508293,Member,2020
225,17,523025,Member,2019
226,17,510671,Leader,2023
227,17,507294,Member,2021
228,17,512292,Member,2025
229,17,501232,Member,2025
230,17,518121,Member,2020
231,17,521275,Member,2020
232,17,522480,Member,2025
233,18,511769,Member,2018
234,18,518702,Leader,2020
235,18,511880,Member,2024
236,18,500370,Member,2021
237,18,506235,Member,2017
238,18,514262,Member,2018
239,18,519085,Member,2016
240,18,505884,Member,2025
241,18,504462,Member,2025
242,19,515006,Member,2020
243,19,503487,Member,2017
244,19,523233,Member,2023
245,19,521736,Leader,2023
246,19,515417,Member,2024
247,19,507443,Member,2017
248,19,513015,Member,2024
249,19,516172,Member,2020
250,19,523234,Member,2015
251,20,509802,Member,2020
252,20,509890,Member,2022
253,20,510423,Member,2016
254,20,506428,Member,2023
255,20,507440,Member,2020
256,20,505772,Member,2021
257,20,510211,Member,2019
