VehicleID,RegistrationNumber,OwnerPersonID,VehicleType,Brand,Color,ManufactureYear,IsStolen
1,KA04VO3896,500001,Truck,Mahindra,Yellow,2011,False
2,KA04IR8467,500001,Van,Tata,Blue,2023,True
3,KA03FP9218,500002,Bus,Tata,Grey,2011,False
4,KA04HJ8837,500003,Scooter,Honda,Green,2020,False
5,KA04UN6235,500003,SUV,TVS,Grey,2019,False
6,KA11IV6322,500006,Car,Maruti Suzuki,Grey,2016,False
7,KA09NS1129,500007,Motorcycle,TVS,Silver,2020,False
8,KA19PC5279,500007,Car,Kia,Blue,2017,True
9,KA02WR9096,500008,Van,Tata,Grey,2025,False
10,KA01BQ9034,500008,Car,Tata,Grey,2012,False
11,KA09DS4929,500009,Truck,Maruti Suzuki,White,2008,False
12,KA02CB1477,500010,Van,Hyundai,Yellow,2023,True
13,KA02RN1823,500011,Auto Rickshaw,Hyundai,Silver,2010,True
14,KA04SZ5390,500011,Auto Rickshaw,Hero,Yellow,2021,False
15,KA09UZ3509,500015,Van,TVS,Black,2017,False
16,KA03VY6081,500016,Truck,Honda,Blue,2014,True
17,KA11ZG1105,500017,Auto Rickshaw,TVS,Green,2024,False
18,KA04JM2474,500017,Car,Hyundai,Black,2008,True
19,KA01CO9079,500019,Van,Mahindra,Grey,2010,False
20,KA04IL4413,500019,SUV,Royal Enfield,Silver,2012,False
21,KA05LE2449,500023,SUV,Maruti Suzuki,White,2024,True
22,KA04ZZ4610,500031,Bus,Hyundai,Blue,2025,False
23,KA02YV8242,500031,Auto Rickshaw,Hyundai,Green,2010,False
24,KA09ZJ6173,500032,Motorcycle,Kia,White,2020,False
25,KA01HE7035,500032,SUV,Toyota,Red,2013,True
26,KA01UU3075,500033,Bus,Honda,Silver,2009,True
27,KA03QO5658,500034,Car,Bajaj,Red,2015,False
28,KA04BF6209,500034,Motorcycle,Hero,Yellow,2010,False
29,KA04MJ2603,500035,Scooter,Maruti Suzuki,Black,2017,False
30,KA04UC4826,500036,Motorcycle,Tata,Red,2025,False
31,KA19TT8427,500036,SUV,Royal Enfield,Yellow,2022,True
32,KA19KO9495,500037,Scooter,Honda,Grey,2024,True
33,KA05NN9121,500038,Truck,Hero,Green,2010,False
34,KA02SO1148,500038,Truck,Tata,Blue,2011,True
35,KA09ET6200,500040,Car,Tata,White,2020,True
36,KA11LS9968,500040,SUV,Maruti Suzuki,Red,2012,False
37,KA11AC5796,500043,Auto Rickshaw,Hero,Silver,2008,False
38,KA19QO6456,500043,Scooter,Royal Enfield,Grey,2016,True
