WitnessID,CaseID,PersonID,WitnessType,StatementRecorded
1,1,501937,Circumstantial Witness,True
2,1,520951,Eye Witness,False
3,1,517322,Expert Witness,True
4,2,501366,Eye Witness,True
5,2,520332,Circumstantial Witness,True
6,2,505053,Eye Witness,False
7,2,515719,Eye Witness,True
8,4,501718,Circumstantial Witness,False
9,4,522936,Circumstantial Witness,False
10,4,502217,Eye Witness,False
11,5,507323,Circumstantial Witness,True
12,7,510840,Eye Witness,False
13,7,520249,Circumstantial Witness,False
14,8,518498,Circumstantial Witness,True
15,8,513229,Expert Witness,False
16,8,505395,Circumstantial Witness,False
17,8,502298,Eye Witness,False
18,9,513654,Circumstantial Witness,False
19,9,522067,Expert Witness,False
20,10,524027,Circumstantial Witness,True
21,11,506333,Circumstantial Witness,True
22,11,523477,Eye Witness,False
23,11,517085,Circumstantial Witness,True
24,13,520211,Eye Witness,False
25,14,518502,Eye Witness,False
26,14,505083,Eye Witness,True
27,14,520837,Expert Witness,False
28,18,523654,Expert Witness,True
29,18,506470,Eye Witness,True
30,19,508243,Expert Witness,False
31,19,524191,Eye Witness,True
32,19,513316,Circumstantial Witness,True
33,21,507201,Circumstantial Witness,False
34,23,520898,Eye Witness,True
35,23,517079,Circumstantial Witness,False
36,23,509651,Eye Witness,False
37,23,515449,Eye Witness,False
38,24,521117,Expert Witness,True
39,25,517527,Circumstantial Witness,False
40,25,522348,Expert Witness,False
41,25,521323,Eye Witness,True
42,25,505617,Expert Witness,False
43,27,502203,Circumstantial Witness,False
44,27,519688,Expert Witness,False
45,27,504483,Eye Witness,True
46,27,519507,Circumstantial Witness,False
47,28,503550,Expert Witness,True
48,28,504854,Expert Witness,False
49,28,510065,Circumstantial Witness,True
50,28,502069,Eye Witness,True
51,30,511758,Eye Witness,True
52,30,506000,Expert Witness,True
53,30,512413,Eye Witness,True
54,31,508152,Eye Witness,True
55,32,509195,Expert Witness,True
56,32,523911,Circumstantial Witness,True
57,32,524303,Eye Witness,False
58,33,512315,Expert Witness,False
59,33,524089,Circumstantial Witness,False
60,33,523092,Eye Witness,True
61,35,510454,Circumstantial Witness,False
62,35,504770,Eye Witness,False
63,36,507052,Expert Witness,False
64,36,520052,Eye Witness,True
65,37,520811,Eye Witness,True
66,39,522043,Eye Witness,True
67,39,512747,Expert Witness,True
68,39,519250,Eye Witness,False
69,40,513532,Expert Witness,True
70,40,507228,Circumstantial Witness,False
71,41,523156,Circumstantial Witness,False
